trade_date,market,industry,moneydj_flow_rate_pct,source,source_url,moneydj_history_points,moneydj_history_latest_flow_rate_pct,moneydj_flow_rate_5d_avg_pct,moneydj_flow_rate_20d_avg_pct,moneydj_flow_rate_accel_pct,moneydj_flow_rate_5d_change_pct,moneydj_sector_return_20d_pct,moneydj_market_return_20d_pct,moneydj_relative_strength_20d_pct,moneydj_validation_status,moneydj_validation_message
2025-06-08,TWSE,水泥,0.16,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.1,0.10400000000000001,0.11000000000000001,-0.006000000000000005,0.010000000000000009,-2.1152618135376833,7.850862142815784,-9.966123956353467,warning,表格與明細圖最新流向率差異偏大 0.06 pct
2025-06-08,TWSE,食品,0.21,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.19,0.21400000000000002,0.1715,0.04250000000000001,0.0,-0.21770005079667643,7.850862142815784,-8.068562193612461,pass,表格與明細圖最新流向率差異 0.02 pct
2025-06-08,TWSE,塑膠,0.77,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.76,1.194,0.7795,0.4145,-0.49,9.527833001988073,7.850862142815784,1.6769708591722887,pass,表格與明細圖最新流向率差異 0.01 pct
2025-06-08,TWSE,紡織纖維,0.34,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.35,0.344,0.2565,0.08749999999999997,0.07999999999999996,7.242484622715062,7.850862142815784,-0.6083775201007224,pass,表格與明細圖最新流向率差異 0.01 pct
2025-06-08,TWSE,電機機械,2.24,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,3.26,3.0,2.399,0.601,1.5699999999999998,-1.986879742390768,7.850862142815784,-9.837741885206553,warning,表格與明細圖最新流向率差異偏大 1.02 pct
2025-06-08,TWSE,電器電纜,0.35,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.37,0.47800000000000004,0.2615,0.21650000000000003,0.010000000000000009,8.908707326428832,7.850862142815784,1.0578451836130478,pass,表格與明細圖最新流向率差異 0.02 pct
2025-06-08,TWSE,化學生技醫療,1.35,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,1.31,1.0219999999999998,1.3195000000000001,-0.2975000000000003,0.3500000000000001,5.499965012945229,7.850862142815784,-2.350897129870555,pass,表格與明細圖最新流向率差異 0.04 pct
2025-06-08,TWSE,化工,0.66,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.84,0.6,0.8045,-0.20450000000000002,0.33999999999999997,2.4508305309283607,7.850862142815784,-5.400031611887424,warning,表格與明細圖最新流向率差異偏大 0.18 pct
2025-06-08,TWSE,生技醫療,0.69,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.47,0.422,0.517,-0.09500000000000003,0.009999999999999953,7.2512421109171665,7.850862142815784,-0.5996200318986178,warning,表格與明細圖最新流向率差異偏大 0.22 pct
2025-06-08,TWSE,玻璃陶瓷,0.31,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.43,0.5900000000000001,0.593,-0.0029999999999998916,-0.46,-0.8790392472452613,7.850862142815784,-8.729901390061045,warning,表格與明細圖最新流向率差異偏大 0.12 pct
2025-06-08,TWSE,造紙,0.03,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.06,0.046,0.022,0.024,0.049999999999999996,8.724776019425583,7.850862142815784,0.8739138766097989,pass,表格與明細圖最新流向率差異 0.03 pct
2025-06-08,TWSE,鋼鐵,0.44,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.41,0.33799999999999997,0.3105,0.02749999999999997,0.17999999999999997,3.696985402090358,7.850862142815784,-4.153876740725426,pass,表格與明細圖最新流向率差異 0.03 pct
2025-06-08,TWSE,橡膠,0.12,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.16,0.122,0.0695,0.05249999999999999,0.1,4.185397612773212,7.850862142815784,-3.6654645300425726,pass,表格與明細圖最新流向率差異 0.04 pct
2025-06-08,TWSE,汽車,0.32,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.25,0.298,0.242,0.055999999999999994,-0.10999999999999999,6.348814229249022,7.850862142815784,-1.502047913566762,warning,表格與明細圖最新流向率差異偏大 0.07 pct
2025-06-08,TWSE,電子,70.85,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,74.75,78.054,81.1755,-3.1214999999999975,-7.069999999999993,7.730708306717515,7.850862142815784,-0.12015383609826902,warning,表格與明細圖最新流向率差異偏大 3.90 pct
2025-06-08,TWSE,半導體,33.48,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,33.97,35.006,37.3715,-2.3654999999999973,-8.280000000000001,6.928807365239997,7.850862142815784,-0.922054777575787,warning,表格與明細圖最新流向率差異偏大 0.49 pct
2025-06-08,TWSE,電腦及週邊設備,8.45,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,10.1,12.672,8.936,3.7360000000000007,0.03999999999999915,12.295709908069451,7.850862142815784,4.444847765253667,warning,表格與明細圖最新流向率差異偏大 1.65 pct
2025-06-08,TWSE,光電,3.09,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,5.51,6.892,6.795999999999999,0.09600000000000097,0.25,28.10141281207663,7.850862142815784,20.250550669260846,warning,表格與明細圖最新流向率差異偏大 2.42 pct
2025-06-08,TWSE,通信網路,1.9,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,2.31,2.2880000000000003,3.4155,-1.1275,0.1200000000000001,2.0179194418014523,7.850862142815784,-5.832942701014332,warning,表格與明細圖最新流向率差異偏大 0.41 pct
2025-06-08,TWSE,電子零組件,16.26,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,15.57,13.754,17.7525,-3.9985000000000017,1.0300000000000011,8.608123367513375,7.850862142815784,0.7572612246975909,warning,表格與明細圖最新流向率差異偏大 0.69 pct
2025-06-08,TWSE,電子通路,1.44,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,1.42,1.266,1.1825,0.08349999999999991,0.6199999999999999,6.833528874983696,7.850862142815784,-1.0173332678320879,pass,表格與明細圖最新流向率差異 0.02 pct
2025-06-08,TWSE,資訊服務,0.16,moneydj,https://www.moneydj.com/z/zb/zba/zba.djhtm,60,0.12,0.15,0.064,0.086,-0.020000000000000018,8.214731585518088,7.850862142815784,0.3638694427023035,pass,表格與明細圖最新流向率差異 0.04 pct
