單位名稱,買進金額,賣出金額,買賣差額,date
自營商(自行買賣),"8,130,821,251","13,253,632,240","-5,122,810,989",20260609
自營商(避險),"37,755,467,948","39,324,331,185","-1,568,863,237",20260609
投信,"53,258,836,965","32,691,228,644","20,567,608,321",20260609
外資及陸資(不含外資自營商),"411,152,011,719","502,885,427,665","-91,733,415,946",20260609
外資自營商,0,0,0,20260609
合計,"510,297,137,883","588,154,619,734","-77,857,481,851",20260609
