Date,SecuritiesCompanyCode,CompanyName,Capitals,ClosePrice,SecuritiesIndustryCode
1150605,1240,茂生農經,44232,57.30,農業科技
1150605,1259,安心,32389,58.60,觀光餐旅
1150605,1264,德麥,37052,271.00,食品工業
1150605,1268,漢來美食,42223,170.50,觀光餐旅
1150605,1294,漢田生技,30571,78.80,食品工業
1150605,1295,生合,34474,50.00,食品工業
1150605,1336,台翰,77614,14.35,電子零組件業
1150605,1565,精華,50416,95.60,生技醫療
1150605,1569,濱川,144247,51.10,電腦及週邊設備業
1150605,1570,力肯,51500,48.65,電機機械
1150605,1580,新麥,49339,127.00,電機機械
1150605,1584,精剛,232470,20.00,其他
1150605,1586,和勤,106849,21.45,電機機械
1150605,1591,駿吉-KY,38048,41.00,電機機械
1150605,1593,祺驊,39784,32.05,運動休閒
1150605,1595,川寶,54427,76.00,半導體業
1150605,1599,宏佳騰,73028,24.15,電機機械
1150605,1742,台蠟,92671,16.10,化學工業
1150605,1777,生泰,44591,71.90,生技醫療
1150605,1781,合世,47407,11.95,生技醫療
1150605,1784,訊聯,53121,67.20,生技醫療
1150605,1785,光洋科,595980,136.50,其他電子業
1150605,1788,杏昌,44520,135.00,生技醫療
1150605,1796,金穎生技,41459,36.40,食品工業
1150605,1799,易威,124689,34.00,生技醫療
1150605,1813,寶利徠,46635,12.15,生技醫療
1150605,1815,富喬,585514,102.00,電子零組件業
1150605,2035,唐榮,350000,27.95,鋼鐵工業
1150605,2061,風青,57378,39.80,電器電纜
1150605,2063,世鎧,48101,25.15,鋼鐵工業
1150605,2064,晉椿,69330,14.65,鋼鐵工業
1150605,2065,世豐,63516,34.30,鋼鐵工業
1150605,2066,世德,44449,59.00,電機機械
1150605,2067,嘉鋼,45138,6.53,電機機械
1150605,2070,精湛,41782,64.40,電機機械
1150605,2073,雄順,27500,26.00,鋼鐵工業
1150605,2221,大甲,42325,46.80,其他
1150605,2230,泰茂,68029,28.25,居家生活
1150605,2235,謚源,35878,30.45,電機機械
1150605,2596,綠意,100000,29.60,建材營造
1150605,2640,大車隊,59264,163.00,數位雲端
1150605,2641,正德,330333,19.55,航運業
1150605,2643,捷迅,35000,66.60,航運業
1150605,2718,全心投控,87576,47.40,建材營造
1150605,2719,燦星旅,69182,25.40,觀光餐旅
1150605,2724,藝舍-KY,59656,12.30,其他
1150605,2726,雅茗-KY,37922,10.15,觀光餐旅
1150605,2729,瓦城,43040,158.50,觀光餐旅
1150605,2732,六角,46518,65.00,觀光餐旅
1150605,2734,易飛網,57259,15.50,觀光餐旅
1150605,2736,富野,79972,12.35,觀光餐旅
1150605,2740,華軒,16762,29.35,觀光餐旅
1150605,2743,山富,46815,69.90,觀光餐旅
1150605,2745,五福,33808,106.50,觀光餐旅
1150605,2751,王座,19765,53.10,觀光餐旅
1150605,2752,豆府,26693,178.00,觀光餐旅
1150605,2754,亞洲藏壽司,46907,68.60,觀光餐旅
1150605,2755,揚秦,37374,136.00,觀光餐旅
1150605,2756,聯發國際,24597,59.00,觀光餐旅
1150605,2916,滿心,64626,43.50,居家生活
1150605,2924,宏太-KY,52035,18.95,居家生活
1150605,2926,誠品生活,47389,34.75,文化創意業
1150605,2937,集雅社,43541,48.00,居家生活
1150605,2941,米斯特,15390,29.85,居家生活
1150605,2947,振宇五金,21493,76.50,居家生活
1150605,2948,寶陞,31000,37.90,居家生活
1150605,2949,欣新網,30641,65.00,數位雲端
1150605,3064,泰偉,13011,18.60,文化創意業
1150605,3066,李洲,83070,21.60,光電業
1150605,3067,全域,20000,19.65,居家生活
1150605,3071,協禧,110000,33.75,電腦及週邊設備業
1150605,3073,天方能源,39511,22.40,綠能環保
1150605,3078,僑威,227391,57.50,電子零組件業
1150605,3081,聯亞,92517,2655.00,通信網路業
1150605,3083,網龍,86486,28.50,文化創意業
1150605,3085,新零售,69019,12.85,數位雲端
1150605,3086,華義*,272710,36.80,文化創意業
1150605,3088,艾訊,108649,138.50,電腦及週邊設備業
1150605,3093,港建*,145155,64.00,其他電子業
1150605,3095,及成,10000,42.10,通信網路業
1150605,3105,穩懋,423940,483.50,半導體業
1150605,3114,好德,65129,44.65,電子零組件業
1150605,3115,富榮綱,72197,9.78,電子零組件業
1150605,3118,進階,32452,34.10,生技醫療
1150605,3122,笙泉,40764,30.40,半導體業
1150605,3128,昇銳,47317,25.00,光電業
1150605,3131,弘塑,29672,3150.00,半導體業
1150605,3141,晶宏,75460,74.30,半導體業
1150605,3147,大綜,43686,284.50,資訊服務業
1150605,3152,璟德,69016,179.00,通信網路業
1150605,3158,嘉實,30519,84.70,資訊服務業
1150605,3162,精確,154371,83.20,電機機械
1150605,3163,波若威,80540,1020.00,通信網路業
1150605,3169,亞信,63106,111.50,半導體業
1150605,3171,炎洲流通,33118,72.00,居家生活
1150605,3176,基亞,139306,32.05,生技醫療
1150605,3178,公準,45050,68.30,半導體業
1150605,3188,鑫龍騰,188612,23.80,建材營造
1150605,3191,雲嘉南,43597,20.00,電子零組件業
1150605,3205,佰研,67545,57.10,生技醫療
1150605,3206,志豐,58916,38.70,電子零組件業
1150605,3207,耀勝,66422,69.70,電子零組件業
1150605,3211,順達,154422,423.00,電腦及週邊設備業
1150605,3213,茂訊,58685,139.00,電腦及週邊設備業
1150605,3217,優群,90104,187.50,電子零組件業
1150605,3218,大學光,84724,135.00,生技醫療
1150605,3219,倚強科,71780,76.10,其他電子業
1150605,3221,台嘉碩,105062,57.10,通信網路業
1150605,3224,三顧,78172,38.50,電子通路業
1150605,3226,龍鋒,64430,48.50,電機機械
1150605,3227,原相,150502,225.00,半導體業
1150605,3228,金麗科,71511,180.50,半導體業
1150605,3230,錦明,86010,30.55,光電業
1150605,3232,昱捷,46567,23.60,電子通路業
1150605,3234,光環,111474,125.00,通信網路業
1150605,3236,千如,105000,53.90,電子零組件業
1150605,3252,海灣,50195,17.90,觀光餐旅
1150605,3259,鑫創,72965,17.05,半導體業
1150605,3260,威剛,329404,421.50,半導體業
1150605,3264,欣銓,490170,228.50,半導體業
1150605,3265,台星科,136261,180.00,半導體業
1150605,3268,海德威,34720,20.30,半導體業
1150605,3272,東碩,61176,17.05,電腦及週邊設備業
1150605,3276,宇環,69712,14.80,電子零組件業
1150605,3284,太普高,108482,19.55,其他
