Date,Open,High,Low,Close,Change
20260601,443.97,451.09,443.97,446.02,2.38
20260602,446.83,449.47,433.71,440.64,-5.38
20260603,442.60,450.18,442.60,446.82,6.18
20260604,444.98,445.62,440.10,440.10,-6.72
20260605,438.19,438.19,419.44,431.07,-9.03
