Date,Investor,PurchaseAmount,SaleAmount,Net
1150605,外資及陸資合計,95930546657,98001814459,-2071267802
1150605,　外資及陸資(不含自營商),95930546657,98001814459,-2071267802
1150605,　外資自營商,0,0,0
1150605,投信,4571725853,10375440007,-5803714154
1150605,自營商合計,7430539157,11214067614,-3783528457
1150605,　自營商(自行買賣),1643212956,3869715949,-2226502993
1150605,　自營商(避險),5787326201,7344351665,-1557025464
1150605,三大法人合計*,107932811667,119591322080,-11658510413
