Date,Investor,PurchaseAmount,SaleAmount,Net
1150608,外資及陸資合計,74134280204,62885228193,11249052011
1150608,　外資及陸資(不含自營商),74134280204,62885228193,11249052011
1150608,　外資自營商,0,0,0
1150608,投信,3448092907,6421776136,-2973683229
1150608,自營商合計,5702718047,8952203414,-3249485367
1150608,　自營商(自行買賣),1329265584,2922615803,-1593350219
1150608,　自營商(避險),4373452463,6029587611,-1656135148
1150608,三大法人合計*,83285091158,78259207743,5025883415
