Date,Rank,SecuritiesCompanyCode,CompanyName,Buy,Sell,NetBuy
1150608,1,3293,鈊象,1409,8,1401
1150608,2,5371,中光電,380,0,380
1150608,3,6274,台燿,384,42,342
1150608,4,3363,上詮,300,0,300
1150608,5,4908,前鼎,202,0,202
1150608,6,00679B,元大美債20年,150,0,150
1150608,7,00687B,國泰20年美債,150,0,150
1150608,8,6187,萬潤,124,0,124
1150608,9,006201,元大富櫃50,100,0,100
1150608,10,3265,台星科,62,0,62
1150608,11,5536,聖暉*,55,0,55
1150608,12,00795B,中信美國公債20年,50,0,50
1150608,13,6510,精測,52,4,48
1150608,14,6147,頎邦,55,18,37
1150608,15,6509,聚和,34,0,34
1150608,16,5309,系統電,23,0,23
1150608,17,6223,旺矽,22,0,22
1150608,18,3264,欣銓,25,5,20
1150608,19,6788,華景電,20,0,20
1150608,20,3131,弘塑,17,0,17
1150608,21,3357,臺慶科,12,0,12
1150608,22,6679,鈺太,12,0,12
1150608,23,8109,博大,12,0,12
1150608,24,3078,僑威,10,0,10
1150608,25,3169,亞信,10,0,10
1150608,26,3483,力致,10,0,10
1150608,27,3558,神準,10,0,10
1150608,28,3577,泓格,10,0,10
1150608,29,4549,桓達,10,0,10
1150608,30,6488,環球晶,10,0,10
1150608,31,8358,金居,10,0,10
1150608,32,6203,海韻電,9,0,9
1150608,33,6913,鴻呈,5,0,5
1150608,34,3324,雙鴻,3,0,3
