Date,SecuritiesCompanyCode,CompanyName,Capitals,ClosePrice,SecuritiesIndustryCode
1150608,3287,廣寰科,43970,34.20,電腦及週邊設備業
1150608,3288,點晶,16380,21.20,電子零組件業
1150608,3289,宜特,86746,172.00,其他電子業
1150608,3290,東浦,90215,49.15,電子零組件業
1150608,3293,鈊象,281801,780.00,文化創意業
1150608,3294,英濟,132015,36.75,電子零組件業
1150608,3297,杭特,36049,31.70,光電業
1150608,3303,岱稜,94090,50.90,其他電子業
1150608,3306,鼎天,50607,46.95,通信網路業
1150608,3310,佳穎,74948,69.50,電子零組件業
1150608,3313,斐成,221133,11.05,建材營造
1150608,3317,尼克森,90000,74.30,半導體業
1150608,3322,建舜電,137582,14.25,電子零組件業
1150608,3323,加百裕,99455,37.25,電腦及週邊設備業
1150608,3324,雙鴻,93076,1095.00,其他電子業
1150608,3325,旭品,110168,12.90,電腦及週邊設備業
1150608,3332,幸康,48104,65.90,電子零組件業
1150608,3339,泰谷,66568,45.40,光電業
1150608,3349,寶德,46071,17.75,電腦及週邊設備業
1150608,3354,律勝,70112,28.50,電子零組件業
1150608,3357,臺慶科,114936,283.00,電子零組件業
1150608,3360,尚立,76402,14.25,電子通路業
1150608,3362,先進光,147445,141.50,光電業
1150608,3363,上詮,113640,829.00,通信網路業
1150608,3372,典範,175324,19.70,半導體業
1150608,3373,熱映,47618,16.60,其他電子業
1150608,3374,精材,271364,233.00,半導體業
1150608,3379,彬台,38041,37.50,電機機械
1150608,3388,崇越電,74065,93.90,電子零組件業
1150608,3390,旭軟,79329,27.30,電子零組件業
1150608,3402,漢科,73047,132.50,其他電子業
1150608,3430,奇鈦科,33716,138.00,化學工業
1150608,3434,哲固,35754,32.00,光電業
1150608,3438,類比科,47165,66.50,半導體業
1150608,3441,聯一光,40039,54.60,光電業
1150608,3444,利機,44996,99.80,電子通路業
1150608,3455,由田,59850,209.00,光電業
1150608,3465,進泰電子,35329,29.70,其他電子業
1150608,3466,德晉,77892,32.40,通信網路業
1150608,3467,台灣精材,31106,64.30,半導體業
1150608,3479,安勤,72630,122.00,電腦及週邊設備業
1150608,3483,力致,99049,96.80,電腦及週邊設備業
1150608,3484,崧騰,78828,43.85,電子零組件業
1150608,3485,敘豐,38500,320.00,電子零組件業
1150608,3489,森寶,90452,22.00,建材營造
1150608,3490,單井,55006,34.25,光電業
1150608,3491,昇達科,68805,1785.00,通信網路業
1150608,3492,長盛,35531,22.25,電子零組件業
1150608,3498,陽程,61273,127.50,其他電子業
1150608,3499,環天科,54970,14.90,通信網路業
1150608,3508,位速,104311,18.70,其他電子業
1150608,3511,矽瑪,79972,24.35,電子零組件業
1150608,3512,皇龍,113072,20.45,建材營造
1150608,3516,亞帝歐,59560,23.80,光電業
1150608,3520,華盈,68846,18.75,電子零組件業
1150608,3521,台鋼建設,185765,12.35,建材營造
1150608,3522,御嵿,104096,11.50,觀光餐旅
1150608,3523,迎輝,64257,18.90,光電業
1150608,3526,凡甲,65850,368.00,電子零組件業
1150608,3527,聚積,44445,56.80,半導體業
1150608,3529,力旺,74686,3200.00,半導體業
1150608,3531,先益,61175,23.55,光電業
1150608,3537,堡達,56242,76.70,電子零組件業
1150608,3540,曜越,72458,26.00,電腦及週邊設備業
1150608,3541,西柏,56349,22.35,其他電子業
1150608,3546,宇峻,58427,81.40,文化創意業
1150608,3548,兆利,67744,99.00,電子零組件業
1150608,3551,世禾,62274,188.50,綠能環保
1150608,3552,同致,97918,48.85,其他電子業
1150608,3555,博士旺,39998,204.50,半導體業
1150608,3556,禾瑞亞,63702,69.50,半導體業
1150608,3558,神準,59060,124.00,通信網路業
1150608,3564,其陽,59123,48.20,通信網路業
1150608,3567,逸昌,33954,27.05,半導體業
1150608,3570,大塚,17097,186.00,資訊服務業
1150608,3577,泓格,63965,136.00,電腦及週邊設備業
1150608,3580,友威科,39470,99.60,其他電子業
1150608,3581,博磊,51006,156.50,半導體業
1150608,3587,閎康,71168,286.00,其他電子業
1150608,3594,磐儀,95948,44.25,電腦及週邊設備業
1150608,3597,映興,39236,27.30,電子零組件業
1150608,3609,三一東林,38419,27.70,電子零組件業
1150608,3611,鼎翰,47554,189.00,電腦及週邊設備業
1150608,3615,安可,68466,54.20,光電業
1150608,3623,富晶通,29185,23.00,光電業
1150608,3624,光頡,117340,102.50,電子零組件業
1150608,3625,西勝,114246,15.10,電腦及週邊設備業
1150608,3628,盈正,45000,70.50,其他電子業
1150608,3629,地心引力,32954,15.90,文化創意業
1150608,3630,新鉅科,204191,27.85,光電業
1150608,3631,晟楠,81820,33.25,電子零組件業
1150608,3632,研勤,40889,8.30,通信網路業
1150608,3646,艾恩特,39297,23.70,電子零組件業
1150608,3663,鑫科,108494,72.30,其他電子業
1150608,3664,安瑞-KY,71945,7.21,通信網路業
1150608,3666,光耀,138949,25.60,光電業
1150608,3672,康聯訊,40790,10.85,通信網路業
1150608,3675,德微,53057,346.00,半導體業
1150608,3680,家登,96092,501.00,半導體業
1150608,3684,榮昌,30304,58.50,通信網路業
1150608,3685,元創精密,79574,28.45,電機機械
1150608,3687,歐買尬,30060,75.90,數位雲端
1150608,3689,湧德,89390,127.50,電子零組件業
1150608,3691,碩禾,91883,154.50,光電業
1150608,3693,營邦,42990,564.00,電腦及週邊設備業
1150608,3707,漢磊,396581,70.60,半導體業
1150608,3709,鑫聯大投控,145569,79.70,電腦及週邊設備業
1150608,3710,連展投控,287250,6.04,電子零組件業
1150608,3713,新晶投控,88099,16.10,綠能環保
1150608,4102,永日,42373,17.70,生技醫療
1150608,4105,東洋,248649,74.50,生技醫療
1150608,4107,邦特,69298,115.00,生技醫療
1150608,4109,加捷生醫,118736,12.00,生技醫療
1150608,4111,濟生,59832,30.00,生技醫療
1150608,4113,聯上,231138,15.00,建材營造
1150608,4114,健喬,510175,30.25,生技醫療
1150608,4116,明基醫,44566,37.45,生技醫療
1150608,4120,友華,86747,45.50,生技醫療
1150608,4121,優盛,83111,13.75,生技醫療
1150608,4123,晟德,769034,37.90,生技醫療
1150608,4126,太醫,72600,79.50,生技醫療
1150608,4127,天良,45760,67.00,生技醫療
1150608,4128,中天,588170,15.00,生技醫療
1150608,4129,聯合,96437,89.70,生技醫療
1150608,4130,健亞,137887,25.85,生技醫療
1150608,4131,浩泰,39879,34.50,生技醫療
1150608,4138,曜亞,39930,51.80,生技醫療
1150608,4139,馬光-KY,45009,22.30,生技醫療
1150608,4147,中裕,273202,54.10,生技醫療
1150608,4153,鈺緯,58668,31.65,生技醫療
1150608,4154,樂威科-KY,38390,13.50,其他
