Date,SecuritiesCompanyCode,CompanyName,Capitals,ClosePrice,SecuritiesIndustryCode
1150609,1240,茂生農經,44232,57.90,農業科技
1150609,1259,安心,32389,57.70,觀光餐旅
1150609,1264,德麥,37052,269.50,食品工業
1150609,1268,漢來美食,42223,170.00,觀光餐旅
1150609,1294,漢田生技,30571,82.90,食品工業
1150609,1295,生合,34474,49.45,食品工業
1150609,1336,台翰,77614,13.80,電子零組件業
1150609,1565,精華,50416,95.80,生技醫療
1150609,1569,濱川,144247,50.00,電腦及週邊設備業
1150609,1570,力肯,51500,43.90,電機機械
1150609,1580,新麥,49339,125.50,電機機械
1150609,1584,精剛,232470,19.60,其他
1150609,1586,和勤,106849,21.55,電機機械
1150609,1591,駿吉-KY,38048,34.60,電機機械
1150609,1593,祺驊,39784,31.65,運動休閒
1150609,1595,川寶,54427,75.50,半導體業
1150609,1599,宏佳騰,73028,23.85,電機機械
1150609,1742,台蠟,92671,15.30,化學工業
1150609,1777,生泰,44591,72.20,生技醫療
1150609,1781,合世,47407,12.05,生技醫療
1150609,1784,訊聯,53121,67.70,生技醫療
1150609,1785,光洋科,595980,133.00,其他電子業
1150609,1788,杏昌,44520,134.50,生技醫療
1150609,1796,金穎生技,41459,35.10,食品工業
1150609,1799,易威,124689,32.65,生技醫療
1150609,1813,寶利徠,46635,11.80,生技醫療
1150609,1815,富喬,585514,98.90,電子零組件業
1150609,2035,唐榮,350000,28.25,鋼鐵工業
1150609,2061,風青,57378,37.60,電器電纜
1150609,2063,世鎧,48101,25.45,鋼鐵工業
1150609,2064,晉椿,69330,14.85,鋼鐵工業
1150609,2065,世豐,63516,33.80,鋼鐵工業
1150609,2066,世德,44449,60.40,電機機械
1150609,2067,嘉鋼,45138,6.40,電機機械
1150609,2070,精湛,41782,63.30,電機機械
1150609,2073,雄順,27500,26.00,鋼鐵工業
1150609,2221,大甲,42325,43.40,其他
1150609,2230,泰茂,68029,28.00,居家生活
1150609,2235,謚源,35878,30.70,電機機械
1150609,2596,綠意,100000,29.55,建材營造
1150609,2640,大車隊,59264,160.00,數位雲端
1150609,2641,正德,330333,19.25,航運業
1150609,2643,捷迅,35000,66.00,航運業
1150609,2718,全心投控,87576,47.30,建材營造
1150609,2719,燦星旅,69182,24.90,觀光餐旅
1150609,2724,藝舍-KY,59656,12.45,其他
1150609,2726,雅茗-KY,37922,9.83,觀光餐旅
1150609,2729,瓦城,43040,156.50,觀光餐旅
1150609,2732,六角,46518,67.40,觀光餐旅
1150609,2734,易飛網,57259,15.20,觀光餐旅
1150609,2736,富野,79972,12.00,觀光餐旅
1150609,2740,華軒,16762,28.35,觀光餐旅
1150609,2743,山富,46815,67.80,觀光餐旅
1150609,2745,五福,33808,104.00,觀光餐旅
1150609,2751,王座,19765,52.20,觀光餐旅
1150609,2752,豆府,26693,176.50,觀光餐旅
1150609,2754,亞洲藏壽司,46907,67.60,觀光餐旅
1150609,2755,揚秦,37374,134.00,觀光餐旅
1150609,2756,聯發國際,24597,60.00,觀光餐旅
1150609,2916,滿心,64626,42.60,居家生活
1150609,2924,宏太-KY,52035,16.05,居家生活
1150609,2926,誠品生活,47389,34.55,文化創意業
1150609,2937,集雅社,43541,47.40,居家生活
1150609,2941,米斯特,15390,29.95,居家生活
1150609,2947,振宇五金,21493,76.60,居家生活
1150609,2948,寶陞,31000,36.75,居家生活
1150609,2949,欣新網,30641,65.00,數位雲端
1150609,3064,泰偉,13011,18.00,文化創意業
1150609,3066,李洲,83070,21.35,光電業
1150609,3067,全域,20000,18.65,居家生活
1150609,3071,協禧,110000,32.20,電腦及週邊設備業
1150609,3073,天方能源,39511,21.40,綠能環保
1150609,3078,僑威,227391,57.10,電子零組件業
1150609,3081,聯亞,92517,2490.00,通信網路業
1150609,3083,網龍,86486,27.80,文化創意業
1150609,3085,新零售,69019,12.50,數位雲端
1150609,3086,華義*,272710,36.20,文化創意業
1150609,3088,艾訊,108649,136.00,電腦及週邊設備業
1150609,3093,港建*,145155,63.20,其他電子業
1150609,3095,及成,10000,40.55,通信網路業
1150609,3105,穩懋,423940,496.50,半導體業
1150609,3114,好德,65129,41.35,電子零組件業
1150609,3115,富榮綱,72197,9.50,電子零組件業
1150609,3118,進階,32452,33.70,生技醫療
1150609,3122,笙泉,40764,29.45,半導體業
1150609,3128,昇銳,47317,24.20,光電業
1150609,3131,弘塑,29672,3165.00,半導體業
1150609,3141,晶宏,75460,73.90,半導體業
1150609,3147,大綜,43686,312.50,資訊服務業
1150609,3152,璟德,69016,188.00,通信網路業
1150609,3158,嘉實,30519,83.70,資訊服務業
1150609,3162,精確,154371,87.00,電機機械
1150609,3163,波若威,80540,982.00,通信網路業
1150609,3169,亞信,63106,110.00,半導體業
1150609,3171,炎洲流通,33118,79.40,居家生活
1150609,3176,基亞,139306,34.00,生技醫療
1150609,3178,公準,45050,63.80,半導體業
1150609,3188,鑫龍騰,188612,23.90,建材營造
1150609,3191,雲嘉南,43597,20.95,電子零組件業
1150609,3205,佰研,67545,54.30,生技醫療
1150609,3206,志豐,58916,38.00,電子零組件業
1150609,3207,耀勝,66422,65.40,電子零組件業
