Date,Rank,SecuritiesCompanyCode,CompanyName,Buy,Sell,NetBuy
1150609,1,3293,鈊象,1384,0,1384
1150609,2,6274,台燿,854,3,851
1150609,3,6187,萬潤,577,1,576
1150609,4,5289,宜鼎,215,26,189
1150609,5,6223,旺矽,135,8,127
1150609,6,006201,元大富櫃50,100,0,100
1150609,7,6138,茂達,80,1,79
1150609,8,3131,弘塑,62,0,62
1150609,9,6510,精測,76,14,62
1150609,10,5904,寶雅,52,0,52
1150609,11,3265,台星科,32,0,32
1150609,12,5536,聖暉*,28,0,28
1150609,13,5351,鈺創,20,0,20
1150609,14,3357,臺慶科,15,0,15
1150609,15,3260,威剛,13,0,13
1150609,16,4749,新應材,29,17,12
1150609,17,7734,印能科技,20,10,10
1150609,18,4933,友輝,10,0,10
1150609,19,6683,雍智科技,10,0,10
1150609,20,6509,聚和,9,0,9
1150609,21,3081,聯亞,9,1,8
1150609,22,5274,信驊,13,6,7
1150609,23,5309,系統電,6,0,6
1150609,24,6462,神盾,5,0,5
1150609,25,8054,安國,5,0,5
1150609,26,8358,金居,5,0,5
1150609,27,8109,博大,3,0,3
1150609,28,3228,金麗科,2,0,2
1150609,29,4979,華星光,2,0,2
1150609,30,5236,凌陽創新,2,0,2
1150609,31,8932,智通*,2,0,2
1150609,32,3324,雙鴻,1,0,1
1150609,33,3363,上詮,1,0,1
1150609,34,6104,創惟,1,0,1
1150609,35,6290,良維,1,0,1
1150609,36,6291,沛亨,1,0,1
1150609,37,8064,東捷,1,0,1
1150609,38,6584,南俊國際,1,0,1
1150609,39,3163,波若威,53,52,1
1150609,40,3680,家登,1,0,1
1150609,41,8086,宏捷科,1,0,1
