Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150608,3138,耀登,952181,138800332,144.00,150.50,144.00,150.00,-9.5000,1368
1150608,3149,正達,9170766,768606596,81.80,90.50,81.80,86.80,-4.0000,8268
1150608,3150,鈺寶-創,68564,1285991,19.60,19.60,18.50,18.90,-0.9500,58
1150608,3164,景岳,362259,6159498,16.90,17.60,16.30,16.30,-0.2000,357
1150608,3167,大量,1407302,1230145875,855.00,905.00,855.00,865.00,-85.0000,2237
1150608,3168,眾福科,49349,2300596,47.50,47.50,45.90,46.60,-1.4000,48
1150608,3189,景碩,8137218,5403523911,641.00,698.00,641.00,698.00,-14.0000,13190
1150608,3209,全科,2949089,202056859,66.20,70.70,66.20,69.90,-3.6000,2178
1150608,3229,晟鈦,612743,24912911,39.95,42.05,39.95,41.10,-3.2500,493
1150608,3231,緯創,71040675,11394830105,156.00,163.50,156.00,163.50,-7.5000,57624
1150608,3257,虹冠電,951935,52859836,54.80,56.50,54.60,56.00,-4.6000,710
1150608,3266,昇陽,175742,2194524,12.90,12.90,12.30,12.50,-0.5000,105
1150608,3296,勝德,75783,1594548,21.50,21.50,20.70,20.95,-0.8500,204
1150608,3305,昇貿,5371450,765927525,140.50,146.50,140.50,145.00,-11.0000,5579
1150608,3308,聯德,254494,5208793,19.75,20.95,19.75,20.75,-0.9500,280
1150608,3311,閎暉,4596786,186182236,37.60,42.50,37.55,40.50,0.7500,3263
1150608,3312,弘憶股,7026304,427480663,60.80,61.60,60.80,60.80,-6.7000,5287
1150608,3321,同泰,1323477,25264268,17.50,21.00,17.50,20.55,1.4500,723
1150608,3338,泰碩,2356838,175980597,70.90,80.00,70.90,77.30,-1.3000,5591
1150608,3346,麗清,1571242,38333892,24.05,25.60,24.05,25.00,-1.7000,1120
1150608,3356,奇偶,1085609,62577420,55.80,59.60,55.80,59.10,-1.3000,943
1150608,3376,新日興,34983763,8149757752,223.00,244.50,219.00,236.50,-0.5000,29399
1150608,3380,明泰,4315992,147479144,33.75,34.75,33.75,34.45,-3.0500,2553
1150608,3406,玉晶光,4000335,2568882655,614.00,668.00,612.00,654.00,0.0000,6109
1150608,3413,京鼎,2588248,760180443,294.00,299.50,287.00,297.50,-19.5000,4133
1150608,3416,融程電,507919,86141390,165.00,174.50,164.50,174.50,-6.5000,692
1150608,3419,譁裕,438589,5911831,13.20,13.85,13.20,13.65,-0.5500,205
1150608,3432,台端,21283,368900,16.75,17.95,16.75,17.95,-0.5000,39
1150608,3437,榮創,1663562,35549687,21.10,22.00,21.10,21.50,-1.9000,934
1150608,3443,創意,1876483,7743605060,4000.00,4315.00,4000.00,4255.00,0.0000,12935
1150608,3447,展達,292900,11159135,37.50,39.10,37.20,38.80,-2.2000,278
1150608,3450,聯鈞,6239425,2852274439,451.00,469.00,451.00,461.00,-40.0000,10794
1150608,3481,群創,88824555,4294656640,48.35,48.35,48.35,48.35,-5.3500,78798
1150608,3494,誠研,172661,1357935,7.37,7.98,7.37,7.91,-0.2000,88
1150608,3501,維熹,458503,19019957,40.45,42.20,40.45,42.10,-1.6500,330
1150608,3504,揚明光,1401924,102563824,72.90,74.40,72.90,72.90,-8.0000,1292
1150608,3515,華擎,1291517,304119814,226.50,245.50,226.50,243.50,-6.0000,1583
1150608,3518,柏騰,952453,28757466,29.00,31.25,29.00,30.80,-1.0500,631
1150608,3528,安馳,521138,64924968,124.50,126.50,124.50,124.50,-13.5000,558
1150608,3530,晶相光,304957,18275474,58.80,60.70,58.80,60.10,-4.9000,363
1150608,3532,台勝科,376094,98160534,261.00,261.00,261.00,261.00,-29.0000,877
1150608,3533,嘉澤,1014184,2253483550,2130.00,2295.00,2130.00,2290.00,-75.0000,3611
1150608,3535,晶彩科,1553420,185575549,117.50,123.50,117.50,123.00,-7.5000,1652
1150608,3543,州巧,1057003,34802317,32.80,34.45,32.20,33.90,-1.0500,623
1150608,3545,敦泰,1688881,86755982,51.00,52.90,50.50,51.60,-4.3000,1609
1150608,3550,聯穎,4841810,110716101,21.70,24.05,21.70,23.55,-0.5000,2620
1150608,3557,嘉威,168400,3908955,23.35,23.85,22.30,23.20,-0.9500,145
1150608,3563,牧德,787423,564929468,708.00,738.00,708.00,734.00,-52.0000,3180
1150608,3576,聯合再生,18072468,282726903,15.45,15.95,15.45,15.70,-1.4500,8184
1150608,3583,辛耘,1672178,1327688966,782.00,811.00,782.00,807.00,-61.0000,4752
1150608,3588,通嘉,499258,27044466,54.30,55.20,53.30,54.80,-4.1000,980
1150608,3591,艾笛森,1204724,27307417,21.90,23.55,21.90,23.15,-1.1000,828
