日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150608,特選臺灣科技高息成長指數,8342.48,-,426.62,-4.87,
1150608,特選臺灣AI優息動能指數,7408.78,-,454.51,-5.78,
1150608,臺灣優選AI 50指數,9143.40,-,559.47,-5.77,
1150608,臺灣AI供應鏈聯盟指數,16835.89,-,759.89,-4.32,
1150608,台灣旗艦動能50指數,10085.83,-,504.27,-4.76,
1150608,特選臺灣動能趨勢指數,15550.43,-,813.79,-4.97,
1150608,金融類日報酬兩倍指數,82195.33,-,"4,939.91",-5.67,
1150608,金融類日報酬反向一倍指數,2465.02,+,67.95,2.83,
1150608,漲升股利150指數,20548.88,-,922.55,-4.30,
1150608,藍籌30指數,26360.55,-,840.31,-3.09,
1150608,工業菁英30指數,22708.51,-,827.70,-3.52,
1150608,低波動股利精選30指數,11434.25,-,385.44,-3.26,
1150608,中小型A級動能50指數,32119.37,-,"1,483.42",-4.41,
1150608,特選高息低波指數,11343.95,-,351.09,-3.00,
1150608,臺灣永續指數,24282.97,-,909.25,-3.61,
1150608,存股雙十等權重指數,19265.07,-,690.37,-3.46,
1150608,特選大蘋果指數,29172.19,-,"1,080.57",-3.57,
1150608,中小型300指數,17119.89,-,796.67,-4.45,
1150608,微波高息精選20指數,12165.79,-,619.95,-4.85,
1150608,特選世代行動通訊指數,20031.80,-,917.16,-4.38,
1150608,智慧投資多因子30指數,7749.63,-,206.96,-2.60,
1150608,臺股期貨指數,23534.80,-,"1,164.17",-4.71,
1150608,臺灣上櫃永續指數,13460.85,-,632.76,-4.49,
1150608,特選台股領航指數,25214.73,-,985.39,-3.76,
1150608,特選Smart多因子指數,18594.53,-,634.85,-3.30,
1150608,特選ESG高股息指數,12057.25,-,645.33,-5.08,
1150608,特選上櫃ESG成長指數,9592.59,-,488.07,-4.84,
1150608,臺灣優息存股指數,5426.04,-,179.41,-3.20,
1150608,特選上櫃ESG永續高股息指數,13851.00,-,920.30,-6.23,
1150608,特選臺灣金融高股息存股指數,9066.05,-,248.20,-2.66,
1150608,特選臺灣產業龍頭存股等權重指數,8711.51,-,319.58,-3.54,
1150608,上櫃ESG 30指數,15391.50,-,738.76,-4.58,
1150608,臺灣ESG低碳50指數,16347.24,-,583.04,-3.44,
1150608,臺灣創新板指數,18539.95,+,68.91,0.37,
1150608,特選上櫃ESG龍頭指數,12704.12,-,751.95,-5.59,
1150608,臺灣市值動能50指數,10641.19,-,333.27,-3.04,
1150608,臺灣護城河概念優選50指數,9984.88,-,363.11,-3.51,
1150608,特選臺灣中小型精選動能100指數,6860.50,-,315.11,-4.39,
1150608,特選臺灣大型股25指數,11171.44,-,395.96,-3.42,
1150608,特選臺灣TOP 50指數,8657.35,-,294.13,-3.29,
1150608,寶島股價報酬指數,74537.19,-,"2,725.19",-3.53,
1150608,發行量加權股價報酬指數,99265.25,-,"3,565.34",-3.47,
1150608,臺灣公司治理100報酬指數,41026.19,-,"1,430.60",-3.37,
1150608,臺灣50報酬指數,92357.32,-,"3,127.45",-3.28,
1150608,臺灣50權重上限30%報酬指數,79275.60,-,"2,891.51",-3.52,
1150608,臺灣中型100報酬指數,74095.95,-,"3,546.62",-4.57,
1150608,臺灣資訊科技股報酬指數,181413.09,-,"6,738.11",-3.58,
1150608,臺灣發達報酬指數,39116.71,-,"1,098.27",-2.73,
1150608,臺灣高股息報酬指數,44008.75,-,"2,192.88",-4.75,
1150608,臺灣就業99報酬指數,45997.81,-,"2,020.90",-4.21,
1150608,臺灣高薪100報酬指數,35104.77,-,"1,487.10",-4.06,
1150608,未含金融電子報酬指數,34810.86,-,"1,157.55",-3.22,
