單位名稱,買進金額,賣出金額,買賣差額,date
自營商(自行買賣),"6,787,117,242","16,608,558,957","-9,821,441,715",20260608
自營商(避險),"43,572,085,122","82,897,486,354","-39,325,401,232",20260608
投信,"41,929,744,680","33,154,018,980","8,775,725,700",20260608
外資及陸資(不含外資自營商),"418,356,976,293","512,208,523,184","-93,851,546,891",20260608
外資自營商,0,0,0,20260608
合計,"510,645,923,337","644,868,587,475","-134,222,664,138",20260608
