證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
00953B,群益優選非投等債,"41,483,000","290,000","41,193,000",0,0,0,0,0,0,"12,751,019",0,0,0,"14,748,000","1,996,981","12,751,019","53,944,019",20260608
00878,國泰永續高股息,"26,519,877","9,045,221","17,474,656",0,0,0,0,0,0,"26,471,717",0,"5,582,000","-5,582,000","49,545,652","17,491,935","32,053,717","43,946,373",20260608
00680L,元大美債20正2,"1,296,000","838,000","458,000",0,0,0,0,0,0,"28,630,679","500,000",0,"500,000","30,595,275","2,464,596","28,130,679","29,088,679",20260608
064762,台積電富邦74購02,"1,000",0,"1,000",0,0,0,0,0,0,"25,208,000",0,0,0,"25,735,000","527,000","25,208,000","25,209,000",20260608
00940,元大台灣價值高息,"13,849,959","4,740,250","9,109,709",0,0,0,0,0,0,"11,418,288","200,000",0,"200,000","17,053,601","5,835,313","11,218,288","20,527,997",20260608
2344,華邦電,"74,140,085","43,721,083","30,419,002",0,0,0,"2,375,000","11,736,000","-9,361,000","-1,421,111","537,000","1,466,268","-929,268","1,597,902","2,089,745","-491,843","19,636,891",20260608
2887,台新新光金,"70,364,188","64,071,443","6,292,745",0,0,0,"11,115,000","362,000","10,753,000","2,429,668","23,000","70,950","-47,950","3,648,594","1,170,976","2,477,618","19,475,413",20260608
00688L,國泰20年美債正2,"2,864,000","61,000","2,803,000",0,0,0,0,0,0,"15,164,363",0,0,0,"15,182,496","18,133","15,164,363","17,967,363",20260608
00673R,期元大S&P原油反1,"339,000","259,000","80,000",0,0,0,0,0,0,"14,959,564",0,0,0,"22,207,094","7,247,530","14,959,564","15,039,564",20260608
00632R,元大台灣50反1,"7,847,500","8,240,000","-392,500",0,0,0,0,0,0,"10,799,308","3,122,000","3,044,000","78,000","78,558,731","67,837,423","10,721,308","10,406,808",20260608
2890,永豐金,"32,440,006","24,085,801","8,354,205",0,0,0,"841,000","5,000","836,000","-25,893",0,"43,000","-43,000","306,345","289,238","17,107","9,164,312",20260608
00992A,主動群益科技創新,"21,887,234","17,006,000","4,881,234",0,0,0,0,0,0,"4,185,359","5,000","41,000","-36,000","8,845,722","4,624,363","4,221,359","9,066,593",20260608
00945B,凱基美國非投等債,"8,726,000",0,"8,726,000",0,0,0,0,0,0,"152,228",0,"720,000","-720,000","2,338,690","1,466,462","872,228","8,878,228",20260608
04018C,臺股指凱基5B牛13,0,0,0,0,0,0,0,0,0,"8,555,000",0,0,0,"9,018,000","463,000","8,555,000","8,555,000",20260608
00664R,國泰臺灣加權反1,0,"260,000","-260,000",0,0,0,0,0,0,"8,743,595",0,0,0,"20,344,181","11,600,586","8,743,595","8,483,595",20260608
00686R,群益臺灣加權反1,"15,000",0,"15,000",0,0,0,0,0,0,"8,408,000",0,0,0,"12,963,000","4,555,000","8,408,000","8,423,000",20260608
3702,大聯大,"21,740,561","7,961,761","13,778,800",0,0,0,"14,000","5,610,000","-5,596,000","110,965","122,000","101,000","21,000","182,902","92,937","89,965","8,293,765",20260608
00882,中信中國高股息,"1,367,000","272,000","1,095,000",0,0,0,0,0,0,"7,016,471",0,0,0,"11,097,963","4,081,492","7,016,471","8,111,471",20260608
00646,元大S&P500,"442,991","94,768","348,223",0,0,0,0,0,0,"7,184,999","19,000",0,"19,000","8,705,000","1,539,001","7,165,999","7,533,222",20260608
00999A,主動野村臺灣高息,"6,076,210","4,127,280","1,948,930",0,0,0,0,0,0,"4,161,527",0,0,0,"10,123,713","5,962,186","4,161,527","6,110,457",20260608
2880,華南金,"24,129,311","20,012,421","4,116,890",0,0,0,"1,178,000","6,000","1,172,000","798,165","38,000","59,313","-21,313","977,789","158,311","819,478","6,087,055",20260608
3036,文曄,"19,631,567","6,767,243","12,864,324",0,0,0,"374,000","7,782,000","-7,408,000","561,187","86,000","269,265","-183,265","863,026","118,574","744,452","6,017,511",20260608
00676R,富邦臺灣加權反1,"461,000","465,000","-4,000",0,0,0,0,0,0,"5,839,350",0,0,0,"8,778,165","2,938,815","5,839,350","5,835,350",20260608
00985B,群益ESG投等債0-5,"3,380,000","46,000","3,334,000",0,0,0,0,0,0,"2,272,867",0,0,0,"3,773,000","1,500,133","2,272,867","5,606,867",20260608
00900,富邦特選高股息30,"3,801,005","1,796,000","2,005,005",0,0,0,0,0,0,"3,348,999",0,0,0,"6,803,442","3,454,443","3,348,999","5,354,004",20260608
