日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150605,寶島股價指數,50336.29,-,705.36,-1.38,
1150605,發行量加權股價指數,45070.94,-,606.52,-1.33,
1150605,臺灣公司治理100指數,28118.49,-,317.81,-1.12,
1150605,臺灣50指數,41701.67,-,543.35,-1.29,
1150605,臺灣50權重上限30%指數,34996.50,-,579.62,-1.63,
1150605,臺灣中型100指數,36252.29,-,540.64,-1.47,
1150605,臺灣資訊科技指數,88051.75,-,"1,121.92",-1.26,
1150605,臺灣發達指數,18690.88,-,504.74,-2.63,
1150605,臺灣高股息指數,14518.46,-,159.75,-1.09,
1150605,臺灣就業99指數,27735.41,-,484.90,-1.72,
1150605,臺灣高薪100指數,21727.35,-,303.33,-1.38,
1150605,未含金融指數,40693.25,-,616.52,-1.49,
1150605,未含電子指數,22440.30,-,98.05,-0.44,
1150605,未含金融電子指數,15031.34,-,198.22,-1.30,
1150605,小型股300指數,14449.45,-,102.45,-0.70,
1150605,水泥窯製類指數,659.21,-,3.78,-0.57,
1150605,塑膠化工類指數,823.37,-,19.05,-2.26,
1150605,機電類指數,16069.31,-,254.79,-1.56,
1150605,水泥類指數,122.63,-,0.09,-0.07,
1150605,食品類指數,1925.06,+,2.42,0.13,
1150605,塑膠類指數,220.37,-,10.92,-4.72,
1150605,紡織纖維類指數,495.16,-,6.41,-1.28,
1150605,電機機械類指數,572.23,-,22.62,-3.80,
1150605,電器電纜類指數,113.57,-,5.92,-4.95,
1150605,化學生技醫療類指數,150.77,+,0.22,0.15,
1150605,化學類指數,201.07,-,1.26,-0.62,
1150605,生技醫療類指數,79.87,+,0.45,0.57,
1150605,玻璃陶瓷類指數,160.12,-,2.21,-1.36,
1150605,造紙類指數,259.70,-,5.60,-2.11,
1150605,鋼鐵類指數,120.05,-,0.15,-0.12,
1150605,橡膠類指數,201.63,-,1.99,-0.98,
1150605,汽車類指數,301.35,+,1.67,0.56,
