證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
00632R,元大台灣50反1,"5,884,000","6,208,000","-324,000",0,0,0,0,0,0,"50,879,027",0,"1,400,000","-1,400,000","81,631,921","29,352,894","52,279,027","50,555,027",20260605
00878,國泰永續高股息,"41,632,181","37,425,900","4,206,281",0,0,0,0,0,0,"29,102,619","30,000","290,000","-260,000","44,332,601","14,969,982","29,362,619","33,308,900",20260605
2887,台新新光金,"90,166,702","74,373,466","15,793,236",0,0,0,"15,788,000","112,036","15,675,964","1,696,795","346,913","686,482","-339,569","3,709,016","1,672,652","2,036,364","33,165,995",20260605
00940,元大台灣價值高息,"11,768,010","6,575,000","5,193,010",0,0,0,0,0,0,"11,635,133","20,000","20,000",0,"19,032,042","7,396,909","11,635,133","16,828,143",20260605
00953B,群益優選非投等債,"12,108,000",0,"12,108,000",0,0,0,0,0,0,"3,751,169",0,0,0,"5,659,668","1,908,499","3,751,169","15,859,169",20260605
1718,中纖,"62,552,740","47,491,000","15,061,740",0,0,0,0,0,0,"-1,441,216","425,213","2,454,730","-2,029,517","802,402","214,101","588,301","13,620,524",20260605
2303,聯電,"169,534,130","89,603,667","79,930,463",0,0,0,"513,705","76,089,576","-75,575,871","8,778,188","8,568,000","1,736,000","6,832,000","3,332,571","1,386,383","1,946,188","13,132,780",20260605
2609,陽明,"54,628,405","14,072,918","40,555,487",0,0,0,"23,000","28,994,280","-28,971,280","324,753","198,733","115,309","83,424","292,397","51,068","241,329","11,908,960",20260605
00680L,元大美債20正2,0,"499,000","-499,000",0,0,0,0,0,0,"11,307,744",0,0,0,"12,074,244","766,500","11,307,744","10,808,744",20260605
2882,國泰金,"46,232,482","35,421,868","10,810,614",0,0,0,"1,942,000","2,220,827","-278,827","98,866","572,030","764,000","-191,970","1,034,063","743,227","290,836","10,630,653",20260605
2615,萬海,"14,677,263","5,071,473","9,605,790",0,0,0,0,"17,994","-17,994","433,566","88,000","98,000","-10,000","509,766","66,200","443,566","10,021,362",20260605
2353,宏碁,"31,752,587","23,955,030","7,797,557",0,0,0,"2,244,000","183,696","2,060,304","-19,470","339,570","218,000","121,570","937,536","1,078,576","-141,040","9,838,391",20260605
00673R,期元大S&P原油反1,0,"73,000","-73,000",0,0,0,0,0,0,"9,535,914",0,0,0,"11,031,998","1,496,084","9,535,914","9,462,914",20260605
2890,永豐金,"26,063,261","16,956,388","9,106,873",0,0,0,"456,000","56,909","399,091","-388,300","205,000","341,000","-136,000","394,702","647,002","-252,300","9,117,664",20260605
2312,金寶,"27,724,222","17,688,160","10,036,062",0,0,0,0,"11,000","-11,000","-1,244,738","48,000","285,837","-237,837","275,278","1,282,179","-1,006,901","8,780,324",20260605
2356,英業達,"47,384,441","37,706,528","9,677,913",0,0,0,"45,000","141,299","-96,299","-1,218,623","372,337","645,350","-273,013","872,501","1,818,111","-945,610","8,362,991",20260605
00664R,國泰臺灣加權反1,0,0,0,0,0,0,0,0,0,"7,896,050",0,0,0,"18,687,100","10,791,050","7,896,050","7,896,050",20260605
064796,嘉澤富邦61購02,0,0,0,0,0,0,0,0,0,"7,758,000",0,0,0,"7,963,000","205,000","7,758,000","7,758,000",20260605
2002,中鋼,"22,152,000","16,227,888","5,924,112",0,0,0,"299,000","17,000","282,000","394,903","248,000","412,000","-164,000","641,480","82,577","558,903","6,601,015",20260605
009820,元大納斯達克精選,"1,144,452","17,420,000","-16,275,548",0,0,0,0,0,0,"22,813,707",0,0,0,"24,925,000","2,111,293","22,813,707","6,538,159",20260605
2834,臺企銀,"24,102,541","17,498,292","6,604,249",0,0,0,0,"34,284","-34,284","-56,000","165,000","232,000","-67,000","100,000","89,000","11,000","6,513,965",20260605
2637,慧洋-KY,"7,630,000","2,024,099","5,605,901",0,0,0,"2,666,000","2,516,060","149,940","54,222","32,000","23,671","8,329","133,372","87,479","45,893","5,810,063",20260605
1402,遠東新,"23,679,711","44,328,155","-20,648,444",0,0,0,"26,670,000","64,389","26,605,611","-554,008","100,000","198,016","-98,016","438,758","894,750","-455,992","5,403,159",20260605
08144U,南電群益61售02,0,0,0,0,0,0,0,0,0,"5,400,000",0,0,0,"6,232,000","832,000","5,400,000","5,400,000",20260605
2481,強茂,"28,679,615","20,299,300","8,380,315",0,0,0,"78,000","3,885,000","-3,807,000","788,067","974,874","302,621","672,253","556,768","440,954","115,814","5,361,382",20260605
00900,富邦特選高股息30,"2,033,010","929,000","1,104,010",0,0,0,0,0,0,"4,226,641",0,0,0,"7,469,342","3,242,701","4,226,641","5,330,651",20260605
0056,元大高股息,"17,713,037","17,565,001","148,036",0,0,0,0,0,0,"5,084,108","58,000","206,000","-148,000","7,179,000","1,946,892","5,232,108","5,232,144",20260605
2501,國建,"5,856,000","791,000","5,065,000",0,0,0,0,0,0,"-15,000","26,000","41,000","-15,000",0,0,0,"5,050,000",20260605
2474,可成,"9,307,637","3,855,597","5,452,040",0,0,0,"15,000","845,067","-830,067","-1,046","149,004","46,900","102,104","201,092","304,242","-103,150","4,620,927",20260605
2376,技嘉,"9,777,409","4,431,054","5,346,355",0,0,0,"248,000","1,016,393","-768,393","-126,144","32,213","79,944","-47,731","398,706","477,119","-78,413","4,451,818",20260605
045458,旭隼元大5B購01,0,"9,000","-9,000",0,0,0,0,0,0,"4,183,000",0,0,0,"4,183,000",0,"4,183,000","4,174,000",20260605
00676R,富邦臺灣加權反1,0,0,0,0,0,0,0,0,0,"4,127,765",0,0,0,"7,034,743","2,906,978","4,127,765","4,127,765",20260605
009805,新光美國電力基建,"774,000","104,000","670,000",0,0,0,0,0,0,"3,393,544",0,"294,000","-294,000","3,926,000","238,456","3,687,544","4,063,544",20260605
00915,凱基優選高股息30,"5,249,000","1,425,000","3,824,000",0,0,0,0,0,0,"239,477","6,000","676,000","-670,000","3,347,571","2,438,094","909,477","4,063,477",20260605
2867,三商壽,"8,964,050","5,381,000","3,583,050",0,0,0,0,0,0,"446,000","633,000","283,000","350,000","100,000","4,000","96,000","4,029,050",20260605
3481,群創,"36,771,637","23,824,587","12,947,050",0,0,0,"41,000","31,443","9,557","-8,942,759","673,000","6,249,536","-5,576,536","981,387","4,347,610","-3,366,223","4,013,848",20260605
3231,緯創,"30,106,120","26,026,333","4,079,787",0,0,0,"187,000","49,419","137,581","-509,609","315,000","486,000","-171,000","1,034,984","1,373,593","-338,609","3,707,759",20260605
