Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150605,00400A,主動國泰動能高息,60780296,877124134,14.64,14.74,14.08,14.55,-0.3100,14112
1150605,00401A,主動摩根台灣鑫收,17322548,235236888,13.80,13.80,13.38,13.68,-0.1600,1412
1150605,00403A,主動統一升級50,588246967,6076991276,10.44,10.54,10.13,10.41,-0.1800,128976
1150605,0050,元大台灣50,337031371,34914259576,105.00,105.35,102.80,104.15,-1.9500,355384
1150605,0051,元大中型100,120899,17204042,144.85,144.85,139.45,143.25,-2.3500,761
1150605,0052,富邦科技,47085844,2875824465,61.60,61.85,60.30,61.00,-1.3000,45428
1150605,0053,元大電子,65156,15544873,241.80,241.80,236.70,239.30,-4.6500,1993
1150605,0055,元大MSCI金融,932167,36145495,38.82,39.14,38.17,39.14,0.2600,749
1150605,0056,元大高股息,71486910,3690435062,52.00,52.20,50.70,51.80,-0.8500,55432
1150605,0057,富邦摩台,19596,6035917,310.30,310.30,305.55,308.00,-7.2500,129
1150605,0061,元大寶滬深,263731,6610742,25.10,25.24,25.00,25.00,-0.2500,216
1150605,006203,元大MSCI台灣,19462,3677367,188.40,189.60,188.25,188.50,-4.1000,145
1150605,006204,永豐臺灣加權,126527,28556761,228.50,228.50,221.55,225.50,-5.1500,156
1150605,006205,富邦上証,683769,27721354,40.53,40.76,40.39,40.49,-0.2500,223
1150605,006206,元大上證50,78474,2846639,36.30,36.46,36.10,36.35,-0.0100,160
1150605,006207,復華滬深,284019,9547795,32.98,33.75,32.98,33.43,-0.2500,132
1150605,006208,富邦台50,5354136,1292855112,243.40,243.50,238.10,241.05,-4.9000,29215
1150605,00625K,富邦上証+R,,,,,,,0.0000,
1150605,00631L,元大台灣50正2,455919015,16776433848,37.43,37.53,35.91,36.67,-1.6300,202167
1150605,00632R,元大台灣50反1,202634893,2099480570,10.28,10.50,10.26,10.37,0.2300,19166
1150605,00633L,富邦上証正2,2704665,143902254,53.30,53.95,52.55,52.55,-0.9000,554
1150605,00634R,富邦上証反1,389000,1179400,3.02,3.05,3.02,3.05,0.0400,25
1150605,00635U,期元大S&P黃金,2548919,118424095,46.64,46.66,46.37,46.43,-0.3300,2894
1150605,00636,國泰中國A50,462644,13361125,28.92,29.06,28.71,28.71,-0.2300,246
1150605,00636K,國泰中國A50+U,200,1850,9.25,9.25,9.25,9.25,-0.0600,2
1150605,00637L,元大滬深300正2,30047061,661499891,22.04,22.33,21.69,21.69,-0.4100,3877
